sample_id,obs_id,strain_id,count
dose_0-rep_1-t_4,dose_0-rep_1-t_4-strain_mut_C,mut_C,961
dose_0-rep_1-t_5,dose_0-rep_1-t_5-strain_mut_C,mut_C,998
dose_0-rep_2-t_0,dose_0-rep_2-t_0-strain_mut_C,mut_C,731
dose_0-rep_2-t_1,dose_0-rep_2-t_1-strain_mut_C,mut_C,762
dose_0-rep_2-t_2,dose_0-rep_2-t_2-strain_mut_C,mut_C,813
dose_0-rep_2-t_3,dose_0-rep_2-t_3-strain_mut_C,mut_C,951
dose_0-rep_2-t_4,dose_0-rep_2-t_4-strain_mut_C,mut_C,1071
dose_0-rep_2-t_5,dose_0-rep_2-t_5-strain_mut_C,mut_C,955
dose_0-rep_0-t_0,dose_0-rep_0-t_0-strain_mut_D,mut_D,875
dose_0-rep_0-t_1,dose_0-rep_0-t_1-strain_mut_D,mut_D,1180
dose_0-rep_0-t_2,dose_0-rep_0-t_2-strain_mut_D,mut_D,1133
dose_0-rep_0-t_3,dose_0-rep_0-t_3-strain_mut_D,mut_D,1245
dose_0-rep_0-t_4,dose_0-rep_0-t_4-strain_mut_D,mut_D,1405
dose_0-rep_0-t_5,dose_0-rep_0-t_5-strain_mut_D,mut_D,1244
dose_0-rep_1-t_0,dose_0-rep_1-t_0-strain_mut_D,mut_D,1121
dose_0-rep_1-t_1,dose_0-rep_1-t_1-strain_mut_D,mut_D,1126
dose_0-rep_1-t_2,dose_0-rep_1-t_2-strain_mut_D,mut_D,1165
dose_0-rep_1-t_3,dose_0-rep_1-t_3-strain_mut_D,mut_D,1285
dose_0-rep_1-t_4,dose_0-rep_1-t_4-strain_mut_D,mut_D,1350
dose_0-rep_1-t_5,dose_0-rep_1-t_5-strain_mut_D,mut_D,1425
dose_0-rep_2-t_0,dose_0-rep_2-t_0-strain_mut_D,mut_D,1007
dose_0-rep_2-t_1,dose_0-rep_2-t_1-strain_mut_D,mut_D,1174
dose_0-rep_2-t_2,dose_0-rep_2-t_2-strain_mut_D,mut_D,1264
dose_0-rep_2-t_3,dose_0-rep_2-t_3-strain_mut_D,mut_D,1342
dose_0-rep_2-t_4,dose_0-rep_2-t_4-strain_mut_D,mut_D,1357
dose_0-rep_2-t_5,dose_0-rep_2-t_5-strain_mut_D,mut_D,1441
dose_0-rep_0-t_0,dose_0-rep_0-t_0-strain_ctrl_000,ctrl_000,722
dose_0-rep_0-t_1,dose_0-rep_0-t_1-strain_ctrl_000,ctrl_000,908
dose_0-rep_0-t_2,dose_0-rep_0-t_2-strain_ctrl_000,ctrl_000,1057
dose_0-rep_0-t_3,dose_0-rep_0-t_3-strain_ctrl_000,ctrl_000,1089
dose_0-rep_0-t_4,dose_0-rep_0-t_4-strain_ctrl_000,ctrl_000,1199
dose_0-rep_0-t_5,dose_0-rep_0-t_5-strain_ctrl_000,ctrl_000,1155
dose_0-rep_1-t_0,dose_0-rep_1-t_0-strain_ctrl_000,ctrl_000,795
dose_0-rep_1-t_1,dose_0-rep_1-t_1-strain_ctrl_000,ctrl_000,822
dose_0-rep_1-t_2,dose_0-rep_1-t_2-strain_ctrl_000,ctrl_000,1091
dose_0-rep_1-t_3,dose_0-rep_1-t_3-strain_ctrl_000,ctrl_000,1105
dose_0-rep_1-t_4,dose_0-rep_1-t_4-strain_ctrl_000,ctrl_000,1119
dose_0-rep_1-t_5,dose_0-rep_1-t_5-strain_ctrl_000,ctrl_000,1300
dose_0-rep_2-t_0,dose_0-rep_2-t_0-strain_ctrl_000,ctrl_000,717
dose_0-rep_2-t_1,dose_0-rep_2-t_1-strain_ctrl_000,ctrl_000,807
dose_0-rep_2-t_2,dose_0-rep_2-t_2-strain_ctrl_000,ctrl_000,1051
dose_0-rep_2-t_3,dose_0-rep_2-t_3-strain_ctrl_000,ctrl_000,1119
dose_0-rep_2-t_4,dose_0-rep_2-t_4-strain_ctrl_000,ctrl_000,1207
dose_0-rep_2-t_5,dose_0-rep_2-t_5-strain_ctrl_000,ctrl_000,1191
dose_0-rep_0-t_0,dose_0-rep_0-t_0-strain_ctrl_001,ctrl_001,1075
dose_0-rep_0-t_1,dose_0-rep_0-t_1-strain_ctrl_001,ctrl_001,1032
dose_0-rep_0-t_2,dose_0-rep_0-t_2-strain_ctrl_001,ctrl_001,1223
dose_0-rep_0-t_3,dose_0-rep_0-t_3-strain_ctrl_001,ctrl_001,1297
dose_0-rep_0-t_4,dose_0-rep_0-t_4-strain_ctrl_001,ctrl_001,1441
dose_0-rep_0-t_5,dose_0-rep_0-t_5-strain_ctrl_001,ctrl_001,1484
dose_0-rep_1-t_0,dose_0-rep_1-t_0-strain_ctrl_001,ctrl_001,1000
dose_0-rep_1-t_1,dose_0-rep_1-t_1-strain_ctrl_001,ctrl_001,1013
dose_0-rep_1-t_2,dose_0-rep_1-t_2-strain_ctrl_001,ctrl_001,1125
dose_0-rep_1-t_3,dose_0-rep_1-t_3-strain_ctrl_001,ctrl_001,1254
dose_0-rep_1-t_4,dose_0-rep_1-t_4-strain_ctrl_001,ctrl_001,1518
dose_0-rep_1-t_5,dose_0-rep_1-t_5-strain_ctrl_001,ctrl_001,1556
dose_0-rep_2-t_0,dose_0-rep_2-t_0-strain_ctrl_001,ctrl_001,740
dose_0-rep_2-t_1,dose_0-rep_2-t_1-strain_ctrl_001,ctrl_001,1056
dose_0-rep_2-t_2,dose_0-rep_2-t_2-strain_ctrl_001,ctrl_001,1311
dose_0-rep_2-t_3,dose_0-rep_2-t_3-strain_ctrl_001,ctrl_001,1442
dose_0-rep_2-t_4,dose_0-rep_2-t_4-strain_ctrl_001,ctrl_001,1321
dose_0-rep_2-t_5,dose_0-rep_2-t_5-strain_ctrl_001,ctrl_001,1449
dose_0-rep_0-t_0,dose_0-rep_0-t_0-strain_ctrl_002,ctrl_002,787
dose_0-rep_0-t_1,dose_0-rep_0-t_1-strain_ctrl_002,ctrl_002,956
dose_0-rep_0-t_2,dose_0-rep_0-t_2-strain_ctrl_002,ctrl_002,1068
dose_0-rep_0-t_3,dose_0-rep_0-t_3-strain_ctrl_002,ctrl_002,1238
dose_0-rep_0-t_4,dose_0-rep_0-t_4-strain_ctrl_002,ctrl_002,1246
dose_0-rep_0-t_5,dose_0-rep_0-t_5-strain_ctrl_002,ctrl_002,1237
dose_0-rep_1-t_0,dose_0-rep_1-t_0-strain_ctrl_002,ctrl_002,743
dose_0-rep_1-t_1,dose_0-rep_1-t_1-strain_ctrl_002,ctrl_002,829
dose_0-rep_1-t_2,dose_0-rep_1-t_2-strain_ctrl_002,ctrl_002,1010
dose_0-rep_1-t_3,dose_0-rep_1-t_3-strain_ctrl_002,ctrl_002,1082
dose_0-rep_1-t_4,dose_0-rep_1-t_4-strain_ctrl_002,ctrl_002,1169
dose_0-rep_1-t_5,dose_0-rep_1-t_5-strain_ctrl_002,ctrl_002,1187
dose_0-rep_2-t_0,dose_0-rep_2-t_0-strain_ctrl_002,ctrl_002,880
dose_0-rep_2-t_1,dose_0-rep_2-t_1-strain_ctrl_002,ctrl_002,935
dose_0-rep_2-t_2,dose_0-rep_2-t_2-strain_ctrl_002,ctrl_002,1106
dose_0-rep_2-t_3,dose_0-rep_2-t_3-strain_ctrl_002,ctrl_002,1033
dose_0-rep_2-t_4,dose_0-rep_2-t_4-strain_ctrl_002,ctrl_002,1261
dose_0-rep_2-t_5,dose_0-rep_2-t_5-strain_ctrl_002,ctrl_002,1183
dose_0-rep_0-t_0,dose_0-rep_0-t_0-strain_ctrl_003,ctrl_003,1598
dose_0-rep_0-t_1,dose_0-rep_0-t_1-strain_ctrl_003,ctrl_003,1904
dose_0-rep_0-t_2,dose_0-rep_0-t_2-strain_ctrl_003,ctrl_003,2207
dose_0-rep_0-t_3,dose_0-rep_0-t_3-strain_ctrl_003,ctrl_003,2259
dose_0-rep_0-t_4,dose_0-rep_0-t_4-strain_ctrl_003,ctrl_003,2455
dose_0-rep_0-t_5,dose_0-rep_0-t_5-strain_ctrl_003,ctrl_003,2634
dose_0-rep_1-t_0,dose_0-rep_1-t_0-strain_ctrl_003,ctrl_003,1617
dose_0-rep_1-t_1,dose_0-rep_1-t_1-strain_ctrl_003,ctrl_003,1967
dose_0-rep_1-t_2,dose_0-rep_1-t_2-strain_ctrl_003,ctrl_003,2303
dose_0-rep_1-t_3,dose_0-rep_1-t_3-strain_ctrl_003,ctrl_003,2337
dose_0-rep_1-t_4,dose_0-rep_1-t_4-strain_ctrl_003,ctrl_003,2327
dose_0-rep_1-t_5,dose_0-rep_1-t_5-strain_ctrl_003,ctrl_003,2497
dose_0-rep_2-t_0,dose_0-rep_2-t_0-strain_ctrl_003,ctrl_003,1526
dose_0-rep_2-t_1,dose_0-rep_2-t_1-strain_ctrl_003,ctrl_003,1897
dose_0-rep_2-t_2,dose_0-rep_2-t_2-strain_ctrl_003,ctrl_003,2046
dose_0-rep_2-t_3,dose_0-rep_2-t_3-strain_ctrl_003,ctrl_003,2361
dose_0-rep_2-t_4,dose_0-rep_2-t_4-strain_ctrl_003,ctrl_003,2449
dose_0-rep_2-t_5,dose_0-rep_2-t_5-strain_ctrl_003,ctrl_003,2381
dose_0-rep_0-t_0,dose_0-rep_0-t_0-strain_ctrl_004,ctrl_004,1066
dose_0-rep_0-t_1,dose_0-rep_0-t_1-strain_ctrl_004,ctrl_004,1438
dose_0-rep_0-t_2,dose_0-rep_0-t_2-strain_ctrl_004,ctrl_004,1615
dose_0-rep_0-t_3,dose_0-rep_0-t_3-strain_ctrl_004,ctrl_004,1494
dose_0-rep_0-t_4,dose_0-rep_0-t_4-strain_ctrl_004,ctrl_004,1580
dose_0-rep_0-t_5,dose_0-rep_0-t_5-strain_ctrl_004,ctrl_004,1510
dose_0-rep_1-t_0,dose_0-rep_1-t_0-strain_ctrl_004,ctrl_004,1157
dose_0-rep_1-t_1,dose_0-rep_1-t_1-strain_ctrl_004,ctrl_004,1208
dose_0-rep_1-t_2,dose_0-rep_1-t_2-strain_ctrl_004,ctrl_004,1348
dose_0-rep_1-t_3,dose_0-rep_1-t_3-strain_ctrl_004,ctrl_004,1518
dose_0-rep_1-t_4,dose_0-rep_1-t_4-strain_ctrl_004,ctrl_004,1576
dose_0-rep_1-t_5,dose_0-rep_1-t_5-strain_ctrl_004,ctrl_004,1647
dose_0-rep_2-t_0,dose_0-rep_2-t_0-strain_ctrl_004,ctrl_004,972
dose_0-rep_2-t_1,dose_0-rep_2-t_1-strain_ctrl_004,ctrl_004,1220
dose_0-rep_2-t_2,dose_0-rep_2-t_2-strain_ctrl_004,ctrl_004,1506
dose_0-rep_2-t_3,dose_0-rep_2-t_3-strain_ctrl_004,ctrl_004,1428
dose_0-rep_2-t_4,dose_0-rep_2-t_4-strain_ctrl_004,ctrl_004,1510
dose_0-rep_2-t_5,dose_0-rep_2-t_5-strain_ctrl_004,ctrl_004,1607
dose_0-rep_0-t_0,dose_0-rep_0-t_0-strain_ctrl_005,ctrl_005,538
dose_0-rep_0-t_1,dose_0-rep_0-t_1-strain_ctrl_005,ctrl_005,540
dose_0-rep_0-t_2,dose_0-rep_0-t_2-strain_ctrl_005,ctrl_005,572
dose_0-rep_0-t_3,dose_0-rep_0-t_3-strain_ctrl_005,ctrl_005,669
dose_0-rep_0-t_4,dose_0-rep_0-t_4-strain_ctrl_005,ctrl_005,630
dose_0-rep_0-t_5,dose_0-rep_0-t_5-strain_ctrl_005,ctrl_005,726
dose_0-rep_1-t_0,dose_0-rep_1-t_0-strain_ctrl_005,ctrl_005,469
dose_0-rep_1-t_1,dose_0-rep_1-t_1-strain_ctrl_005,ctrl_005,490
dose_0-rep_1-t_2,dose_0-rep_1-t_2-strain_ctrl_005,ctrl_005,663
dose_0-rep_1-t_3,dose_0-rep_1-t_3-strain_ctrl_005,ctrl_005,647
dose_0-rep_1-t_4,dose_0-rep_1-t_4-strain_ctrl_005,ctrl_005,628
dose_0-rep_1-t_5,dose_0-rep_1-t_5-strain_ctrl_005,ctrl_005,669
dose_0-rep_2-t_0,dose_0-rep_2-t_0-strain_ctrl_005,ctrl_005,440
dose_0-rep_2-t_1,dose_0-rep_2-t_1-strain_ctrl_005,ctrl_005,519
dose_0-rep_2-t_2,dose_0-rep_2-t_2-strain_ctrl_005,ctrl_005,665
dose_0-rep_2-t_3,dose_0-rep_2-t_3-strain_ctrl_005,ctrl_005,606
dose_0-rep_2-t_4,dose_0-rep_2-t_4-strain_ctrl_005,ctrl_005,690
dose_0-rep_2-t_5,dose_0-rep_2-t_5-strain_ctrl_005,ctrl_005,646
dose_0-rep_0-t_0,dose_0-rep_0-t_0-strain_ctrl_006,ctrl_006,905
dose_0-rep_0-t_1,dose_0-rep_0-t_1-strain_ctrl_006,ctrl_006,1148
dose_0-rep_0-t_2,dose_0-rep_0-t_2-strain_ctrl_006,ctrl_006,1012
dose_0-rep_0-t_3,dose_0-rep_0-t_3-strain_ctrl_006,ctrl_006,1251
dose_0-rep_0-t_4,dose_0-rep_0-t_4-strain_ctrl_006,ctrl_006,1268
dose_0-rep_0-t_5,dose_0-rep_0-t_5-strain_ctrl_006,ctrl_006,1412
dose_0-rep_1-t_0,dose_0-rep_1-t_0-strain_ctrl_006,ctrl_006,816
dose_0-rep_1-t_1,dose_0-rep_1-t_1-strain_ctrl_006,ctrl_006,1124
dose_0-rep_1-t_2,dose_0-rep_1-t_2-strain_ctrl_006,ctrl_006,1145
dose_0-rep_1-t_3,dose_0-rep_1-t_3-strain_ctrl_006,ctrl_006,1325
dose_0-rep_1-t_4,dose_0-rep_1-t_4-strain_ctrl_006,ctrl_006,1333
dose_0-rep_1-t_5,dose_0-rep_1-t_5-strain_ctrl_006,ctrl_006,1386
dose_0-rep_2-t_0,dose_0-rep_2-t_0-strain_ctrl_006,ctrl_006,947
dose_0-rep_2-t_1,dose_0-rep_2-t_1-strain_ctrl_006,ctrl_006,1084
dose_0-rep_2-t_2,dose_0-rep_2-t_2-strain_ctrl_006,ctrl_006,1175
dose_0-rep_2-t_3,dose_0-rep_2-t_3-strain_ctrl_006,ctrl_006,1161
dose_0-rep_2-t_4,dose_0-rep_2-t_4-strain_ctrl_006,ctrl_006,1317
dose_0-rep_2-t_5,dose_0-rep_2-t_5-strain_ctrl_006,ctrl_006,1446
dose_0-rep_0-t_0,dose_0-rep_0-t_0-strain_ctrl_007,ctrl_007,1105
dose_0-rep_0-t_1,dose_0-rep_0-t_1-strain_ctrl_007,ctrl_007,874
dose_0-rep_0-t_2,dose_0-rep_0-t_2-strain_ctrl_007,ctrl_007,1104
dose_0-rep_0-t_3,dose_0-rep_0-t_3-strain_ctrl_007,ctrl_007,1051
dose_0-rep_0-t_4,dose_0-rep_0-t_4-strain_ctrl_007,ctrl_007,1326
dose_0-rep_0-t_5,dose_0-rep_0-t_5-strain_ctrl_007,ctrl_007,1319
dose_0-rep_1-t_0,dose_0-rep_1-t_0-strain_ctrl_007,ctrl_007,806
dose_0-rep_1-t_1,dose_0-rep_1-t_1-strain_ctrl_007,ctrl_007,877
dose_0-rep_1-t_2,dose_0-rep_1-t_2-strain_ctrl_007,ctrl_007,1012
dose_0-rep_1-t_3,dose_0-rep_1-t_3-strain_ctrl_007,ctrl_007,1144
dose_0-rep_1-t_4,dose_0-rep_1-t_4-strain_ctrl_007,ctrl_007,1241
dose_0-rep_1-t_5,dose_0-rep_1-t_5-strain_ctrl_007,ctrl_007,1375
dose_0-rep_2-t_0,dose_0-rep_2-t_0-strain_ctrl_007,ctrl_007,579
dose_0-rep_2-t_1,dose_0-rep_2-t_1-strain_ctrl_007,ctrl_007,970
dose_0-rep_2-t_2,dose_0-rep_2-t_2-strain_ctrl_007,ctrl_007,1381
dose_0-rep_2-t_3,dose_0-rep_2-t_3-strain_ctrl_007,ctrl_007,1071
dose_0-rep_2-t_4,dose_0-rep_2-t_4-strain_ctrl_007,ctrl_007,1199
dose_0-rep_2-t_5,dose_0-rep_2-t_5-strain_ctrl_007,ctrl_007,1355
dose_0-rep_0-t_0,dose_0-rep_0-t_0-strain_ctrl_008,ctrl_008,1054
dose_0-rep_0-t_1,dose_0-rep_0-t_1-strain_ctrl_008,ctrl_008,1044
dose_0-rep_0-t_2,dose_0-rep_0-t_2-strain_ctrl_008,ctrl_008,1460
dose_0-rep_0-t_3,dose_0-rep_0-t_3-strain_ctrl_008,ctrl_008,1458
dose_0-rep_0-t_4,dose_0-rep_0-t_4-strain_ctrl_008,ctrl_008,1619
dose_0-rep_0-t_5,dose_0-rep_0-t_5-strain_ctrl_008,ctrl_008,1673
dose_0-rep_1-t_0,dose_0-rep_1-t_0-strain_ctrl_008,ctrl_008,1098
dose_0-rep_1-t_1,dose_0-rep_1-t_1-strain_ctrl_008,ctrl_008,1302
dose_0-rep_1-t_2,dose_0-rep_1-t_2-strain_ctrl_008,ctrl_008,1299
dose_0-rep_1-t_3,dose_0-rep_1-t_3-strain_ctrl_008,ctrl_008,1467
dose_0-rep_1-t_4,dose_0-rep_1-t_4-strain_ctrl_008,ctrl_008,1651
dose_0-rep_1-t_5,dose_0-rep_1-t_5-strain_ctrl_008,ctrl_008,1525
dose_0-rep_2-t_0,dose_0-rep_2-t_0-strain_ctrl_008,ctrl_008,950
dose_0-rep_2-t_1,dose_0-rep_2-t_1-strain_ctrl_008,ctrl_008,1251
dose_0-rep_2-t_2,dose_0-rep_2-t_2-strain_ctrl_008,ctrl_008,1379
dose_0-rep_2-t_3,dose_0-rep_2-t_3-strain_ctrl_008,ctrl_008,1538
dose_0-rep_2-t_4,dose_0-rep_2-t_4-strain_ctrl_008,ctrl_008,1663
dose_0-rep_2-t_5,dose_0-rep_2-t_5-strain_ctrl_008,ctrl_008,1587
dose_0-rep_0-t_0,dose_0-rep_0-t_0-strain_ctrl_009,ctrl_009,833
dose_0-rep_0-t_1,dose_0-rep_0-t_1-strain_ctrl_009,ctrl_009,1086
dose_0-rep_0-t_2,dose_0-rep_0-t_2-strain_ctrl_009,ctrl_009,1094
dose_0-rep_0-t_3,dose_0-rep_0-t_3-strain_ctrl_009,ctrl_009,1344
dose_0-rep_0-t_4,dose_0-rep_0-t_4-strain_ctrl_009,ctrl_009,1326
dose_0-rep_0-t_5,dose_0-rep_0-t_5-strain_ctrl_009,ctrl_009,1299
dose_0-rep_1-t_0,dose_0-rep_1-t_0-strain_ctrl_009,ctrl_009,788
dose_0-rep_1-t_1,dose_0-rep_1-t_1-strain_ctrl_009,ctrl_009,1036
dose_0-rep_1-t_2,dose_0-rep_1-t_2-strain_ctrl_009,ctrl_009,1164
dose_0-rep_1-t_3,dose_0-rep_1-t_3-strain_ctrl_009,ctrl_009,1270
dose_0-rep_1-t_4,dose_0-rep_1-t_4-strain_ctrl_009,ctrl_009,1309
dose_0-rep_1-t_5,dose_0-rep_1-t_5-strain_ctrl_009,ctrl_009,1179
dose_0-rep_2-t_0,dose_0-rep_2-t_0-strain_ctrl_009,ctrl_009,885
dose_0-rep_2-t_1,dose_0-rep_2-t_1-strain_ctrl_009,ctrl_009,1068
dose_0-rep_2-t_2,dose_0-rep_2-t_2-strain_ctrl_009,ctrl_009,1134
dose_0-rep_2-t_3,dose_0-rep_2-t_3-strain_ctrl_009,ctrl_009,1152
dose_0-rep_2-t_4,dose_0-rep_2-t_4-strain_ctrl_009,ctrl_009,1322
dose_0-rep_2-t_5,dose_0-rep_2-t_5-strain_ctrl_009,ctrl_009,1352
dose_0-rep_0-t_0,dose_0-rep_0-t_0-strain_str_000,str_000,759
dose_0-rep_0-t_1,dose_0-rep_0-t_1-strain_str_000,str_000,708
dose_0-rep_0-t_2,dose_0-rep_0-t_2-strain_str_000,str_000,802
dose_0-rep_0-t_3,dose_0-rep_0-t_3-strain_str_000,str_000,841
dose_0-rep_0-t_4,dose_0-rep_0-t_4-strain_str_000,str_000,947
dose_0-rep_0-t_5,dose_0-rep_0-t_5-strain_str_000,str_000,897
dose_0-rep_1-t_0,dose_0-rep_1-t_0-strain_str_000,str_000,866
dose_0-rep_1-t_1,dose_0-rep_1-t_1-strain_str_000,str_000,742
dose_0-rep_1-t_2,dose_0-rep_1-t_2-strain_str_000,str_000,773
dose_0-rep_1-t_3,dose_0-rep_1-t_3-strain_str_000,str_000,855
dose_0-rep_1-t_4,dose_0-rep_1-t_4-strain_str_000,str_000,887
dose_0-rep_1-t_5,dose_0-rep_1-t_5-strain_str_000,str_000,954
dose_0-rep_2-t_0,dose_0-rep_2-t_0-strain_str_000,str_000,850
dose_0-rep_2-t_1,dose_0-rep_2-t_1-strain_str_000,str_000,784
dose_0-rep_2-t_2,dose_0-rep_2-t_2-strain_str_000,str_000,885
dose_0-rep_2-t_3,dose_0-rep_2-t_3-strain_str_000,str_000,846
dose_0-rep_2-t_4,dose_0-rep_2-t_4-strain_str_000,str_000,870
dose_0-rep_2-t_5,dose_0-rep_2-t_5-strain_str_000,str_000,888
dose_0-rep_0-t_0,dose_0-rep_0-t_0-strain_str_001,str_001,867
